P52824	A0A0B4KHZ4
P23378	Q9VH09
Q9ULR0	Q9VHV6
P14314	Q9VJD1
Q9P035	Q9VJX8
Q8ND04	Q9VKQ6
Q969V3	Q9VKZ7
A9UHW6	Q9VL73
Q96RR1	Q9VL76
Q9NPI0	Q9VMK8
Q9UHY7	Q9VN95
Q7L2J0	Q9VNH1
O43583	Q9VX98
O95164	Q9VXN1
Q92620	Q9VY54
Q9NXB0	Q9VYM3
Q9GZZ9	Q9VYY3
Q96C11	Q9VZJ8
P22304	Q9VZP8
Q9UGU5	Q9W3S4
Q9UM11	Q9W4H9
O95425	X2JAM4
Q7RTS3	A0A0B4KFD8
O75153	A1ZAB5
Q75QN2	A1ZAK1
Q8TCB7	A1ZAY5
Q15043	A4IJ72
P98164	A8JTM7
Q96ST2	A8JV07
P07101	P18459
Q8N8A6	P26802
Q06546	Q04688
Q9BQ48	Q0E959
Q93015	Q59DX8
Q3MII6	Q5BI03
O60930	Q7JY33
Q8IVD9	Q8IN95
Q9UJA2	Q8MZC4
Q504T8	Q8SXD4
Q99640	Q9NI63
Q16635	Q9V6G5
O94903	Q9VA97
Q08AM6	Q9VG59
O00462	Q9VMY5
Q04323	Q9VSC5
Q6ZN54	Q9VTT9
Q9NX74	Q9VY45
Q9Y2Z2	Q9W245
Q7Z569	A0A0B4KHR2
Q16572	O17444
P48775	P20351
Q9H944	P91641
P19113	Q05733
Q9BUR4	Q6NL34
Q8IVS2	Q8T3L6
P32119	Q9V3P0
Q13162	Q9V3Q4
Q5TA45	Q9VAH9
O43615	Q9VDZ7
Q14746	Q9VF78
O60678	Q9VFB3
Q96SW2	Q9VH36
Q8WTT2	Q9VI82
O95620	Q9VJ06
O43175	Q9VKI8
Q9BTV4	Q9VSB9
Q8N129	Q9VVW7
O43395	Q9VW52
Q92900	Q9VYS3
P82932	Q9VZD5
Q9UJZ1	Q9W1F7
Q68CQ4	Q9W1G1
Q13439	Q9W1R3
P50897	Q9W3C7
O43264	Q9W4X9
Q96L58	A1Z7G9
O95149	B7Z0I7
Q14974	O18388
Q9HD34	O46098
P06744	P52029
O14929	Q0KIB3
Q9BRV3	Q7JVE7
Q9H4I9	Q7JX57
Q9P0U1	Q7K036
P23434	Q9U616
Q9NUM3	Q9V4C6
Q96DP5	Q9V9Z0
P24387	Q9VA76
Q7Z4H7	Q9VAP2
Q8IYY4	Q9VC70
O75683	Q9VDS6
Q92609	Q9VFX6
Q9UBB6	Q9VI25
P42898	Q9VTI0
O14893	Q9VVX0
Q4VC31	Q9VW41
Q9H2L4	Q9W0B7
Q9BV38	Q9W550
Q68CP9	A1Z6M0
Q12756	A1ZAJ2
P62191	P48601
Q12791	Q03720
Q92889	Q24087
Q13190	Q24509
Q5VZI3	Q7KTB0
Q9Y4F3	Q7KWG9
Q8NEP3	Q8INT5
Q9H2C2	Q8SYH1
P10109	Q8SZA8
Q9UI40	Q9U6A0
Q99615	Q9V3W1
Q9BRK5	Q9VDY9
P23508	Q9VF73
Q9Y3B9	Q9VFE6
Q9UHA3	Q9VGN9
O95155	Q9VK44
Q9P258	Q9VMI5
O60671	Q9VQD4
Q8IXZ2	Q9VSK8
Q9UNI6	Q9VWF4
Q8NBF6	Q9VYB2
O75140	Q9W0E3
Q9P055	A0A0B4KHY1
Q6ICG6	A1ZAP1
Q99623	A8DYI6
O75864	M9PCB8
Q6PI48	M9PDL2
Q13415	O16810
P62979	P15357
P52209	P41572
P31645	P51905
P49642	Q24317
Q99575	Q7KVW2
Q9HAW4	Q8IRB5
Q92797	Q8MSU4
Q8N0V3	Q8SXX0
O43290	Q95TU2
O75306	Q9V4E0
P62899	Q9V597
Q07864	Q9VCN1
O60508	Q9VD52
Q96FT9	Q9VK67
Q9NWB6	Q9VL63
Q9Y5R4	Q9VMD3
P49643	Q9VPH2
Q96LT4	Q9VS60
Q8TBE0	Q9VWC0
P98160	Q9W4Y3
Q96RK4	A1Z8E9
Q7L1T6	A1ZBK6
O95260	O96539
P55036	P55035
O15269	Q6NR46
Q8N302	Q7K0W0
Q9UKF7	Q9U9P7
P49257	Q9V3A8
O43318	Q9V3Q6
Q9UPR3	Q9V414
Q96A29	Q9VHT4
Q9BXP2	Q9VJ75
Q9UMR5	Q9VKH6
Q99442	Q9VL49
A4D2B0	Q9VMI8
Q969F9	Q9VNX0
O95295	Q9VQF9
Q9UNK0	Q9VV76
Q13200	Q9VW54
P53602	Q9VXQ3
O95777	Q9W087
Q14254	O61492
Q9BW19	P20480
P51665	P26270
Q8NHU6	Q0E910
Q9GZU8	Q7JWU9
Q15398	Q7K3L1
Q9NNW5	Q86B53
P17861	Q8MLW7
Q9NV88	Q95TS5
Q53GS7	Q9V4W1
Q15021	Q9VAJ1
Q6EMB2	Q9VBX5
Q9UMX1	Q9VG38
O94826	Q9VKC8
Q9UFE4	Q9VN57
Q9H0I3	Q9VPL8
Q15650	Q9VRA1
Q14674	Q9VRN6
Q13257	Q9VRQ2
Q13564	Q9VTE9
O94906	Q9VVU6
Q6IA69	Q9VYA0
Q9H6V9	Q9W0H3
Q86TW2	Q9W133
Q9NRM2	Q9W1V7
Q9H9S5	Q9W2P2
Q9NZM5	Q9W3C2
Q5H8A4	A1Z705
P05090	M9PBN2
O95376	O76924
Q9UKN7	Q0KHU0
O14733	Q23977
P39748	Q7K7A9
P55072	Q7KN62
P49589	Q7KN90
Q9H2P9	Q8IN02
P20936	Q8IR23
Q969S6	Q8SXX5
P51649	Q9VBP6
Q9Y237	Q9VBU4
Q9Y3E2	Q9VC53
Q9HCG8	Q9VJ87
O43924	Q9VLJ0
Q8TCT0	Q9VNA6
Q8IYP9	Q9VQK9
P09622	Q9VVL7
Q5HYI8	Q9VXA9
Q9UQE7	Q9VXE9
Q969G3	Q9W384
O00142	Q9XZT6
Q96JG6	A1ZAY8
Q9Y4L1	O46067
Q92989	Q7K284
Q14318	Q7K3D4
Q8WV93	Q7K4T8
P10768	Q7KSB5
Q8N6Q8	Q86NX3
Q9NVQ4	Q8SWZ6
Q8N3I7	Q9I7P3
Q02878	Q9V9W3
Q96L93	Q9VB25
P82664	Q9VFB2
Q9NPD3	Q9VK19
Q9NXE8	Q9VQF5
Q8N5Z0	Q9VTD9
Q96BP2	Q9W114
Q92535	A0A2U8U156
Q12770	A1Z6J2
P49411	A1Z9E3
P63244	O18640
O75419	O96989
P60174	P29613
Q6RFH5	Q7K4B2
P35613	Q7KTJ7
Q13618	Q8IP45
Q7Z392	Q8IRE3
P51530	Q8IRL9
Q96CD2	Q8MKK3
P62241	Q8MLY8
Q8NCW6	Q8MVS5
Q96A49	Q960T2
Q53R41	Q960W0
Q15526	Q9U4F3
Q9BQT8	Q9V3T2
Q70HW3	Q9VBN7
Q66PJ3	Q9VCD4
Q9Y316	Q9VG04
Q9BUI4	Q9VG60
P49406	Q9VHN6
Q4U2R6	Q9VLJ9
Q9HD40	Q9VNE3
Q9Y248	Q9VQY9
Q9NVF7	Q9VT01
Q9Y333	Q9VTW6
Q13155	Q9VUR3
Q16637	Q9VV74
Q2TBE0	Q9VXT5
Q86UD0	Q9W115
Q9ULH0	Q9W2I0
O15213	Q9W3K3
Q86WR0	Q9W3T2
Q4G0X9	A0A0B7P7M6
Q8WXX0	A0A6H2EJG3
O60701	O02373
P05198	P41374
Q13227	Q7JQT8
Q7L2H7	Q7JVI3
P19388	Q7JZF5
O43719	Q7K204
O94888	Q7K4I5
Q8N5D0	Q7K7W5
Q96HH6	Q8IQJ7
P41252	Q8MSW0
Q96BD0	Q8SY02
A7XYQ1	Q95TY2
Q9NUD9	Q9V7W1
Q06136	Q9VBU5
Q96AX9	Q9VJ14
Q9NX36	Q9VM54
O75127	Q9VRJ7
Q9NWU2	Q9VWS1
P49902	Q9VWV5
Q9NP79	Q9W0B3
Q96GS4	Q9W0Q3
Q8TCC3	Q9W4I3
Q7Z5K2	Q9W517
P52306	A1Z6S7
Q92538	A1Z8W8
Q9H0H5	A1Z9I5
P49748	A1ZBJ2
P03901	P18934
A4D1B5	Q24118
Q9Y2G8	Q7PLG1
Q9H6U6	Q8SY41
Q9Y4W2	Q8SZY9
P63172	Q94524
O60266	Q9V9R3
P26885	Q9VGK3
Q96N46	Q9VGU5
O94874	Q9VI55
Q8N954	Q9VI83
Q8NEC7	Q9VJ34
Q9H3H5	Q9VK30
Q9BSH4	Q9VL11
Q99543	Q9VP77
Q96KP1	Q9VQQ9
O75800	Q9VU41
Q6P3X3	Q9VVM8
Q9Y4B6	Q9W2F2
Q9BXY0	Q9W3B2
P48444	Q9W555
Q9BPX6	A2VEI2
P62910	P04359
Q13813	P13395
P04035	P14773
Q9Y2P8	P56175
P15954	Q7JW00
Q9Y6E7	Q8IRR5
Q9UMS0	Q8SY96
A8K979	Q95RQ4
Q9GZY8	Q961C9
Q8N4Q1	Q9VAA6
O14645	Q9VGG6
Q96SZ6	Q9VGZ1
Q9Y388	Q9VIS0
Q9H8W5	Q9VLR7
O75352	Q9VMW8
Q9H4Z3	Q9VPB7
Q8NE00	Q9VPF8
O95298	Q9VQM2
Q8N3P4	Q9VRX2
Q9BVM2	Q9W0M5
P62249	Q9W237
Q6TDP4	A0A0B4KEU3
O95059	A8JRG8
O15254	B7Z028
P30876	P08266
Q9NQX3	P39205
Q14103	Q08473
O75817	Q2MGL3
Q9NRR4	Q7KNF1
P82921	Q8I0J3
Q8WVB6	Q8IQ05
O75319	Q8SX38
Q9NX07	Q8SXG7
Q96QG7	Q8SZY7
Q8N9A8	Q8T0B1
Q6ZRS2	Q9NDJ2
Q9H0R6	Q9VE09
Q8NEJ9	Q9VMM7
Q08752	Q9VT21
P07858	Q9VY87
Q96EH3	Q9W0F9
Q5VW36	Q9W1Q5
Q92766	Q9W4J1
Q9Y2G5	Q9W589
Q9P203	A0A4D6K4K0
P07814	P28668
Q08828	P32870
Q9BSV6	Q0E8E7
P15586	Q5BIL9
Q8N0U4	Q7K1W5
Q86V15	Q7M3M8
Q86TJ2	Q8I8V0
Q9BVW5	Q8INX3
P05423	Q8SYM9
O14561	Q94519
Q9NZL4	Q95RI2
Q9BQ61	Q9I7R7
Q8IYT2	Q9UAS6
Q9BZZ5	Q9V431
Q8IZT6	Q9VC45
Q6ZMI0	Q9VC66
Q5BKX5	Q9VCE8
Q9UM00	Q9VJ11
Q9UHA4	Q9VJD2
Q93099	Q9VKJ0
Q7Z6J9	Q9VTV4
O75414	Q9VY27
O75489	Q9VZU4
Q96HW7	Q9W3E1
O43312	A0A0B4JCZ8
Q9NWV4	A1Z9A2
O94913	A1Z9W4
Q8WU66	A8DQW8
Q9H0W8	O46080
O95096	P22808
P25787	P40301
P56537	P56538
P57768	Q7JR96
Q09161	Q7K4N3
Q99627	Q7KTH8
Q14847	Q8I7C3
A5PLN9	Q95TN1
P61289	Q9V3P3
Q12972	Q9V7W9
Q9ULI1	Q9VEZ2
Q8IW35	Q9VQV7
Q86X45	Q9VR52
Q9Y4B4	Q9W1A8
Q7Z6K3	Q9W501
Q99797	A1Z6H6
Q49B96	E1JGR4
P78381	O76865
P62277	Q03334
Q8IU60	Q5U127
Q9H063	Q7PL26
Q8NFW8	Q8IQV0
Q9BRB3	Q8IR17
Q96FH0	Q8IR45
Q7LBR1	Q95SH2
Q9NRL2	Q9V9T4
Q9Y5R8	Q9VA95
O60287	Q9VD07
P84101	Q9VEW2
Q96EU6	Q9VFJ1
Q12905	Q9VG73
Q8N9H8	Q9VIF1
P43897	Q9VJC7
Q2NL82	Q9VP47
Q6P1R4	Q9VPM1
Q9BRX5	Q9W2V7
Q8N1E6	A0A0B4KF28
O75899	A0A0B4LHR4
Q9H3J6	A1ZAD7
Q9UEU0	B7Z0M0
Q8N4S7	B7Z0R3
Q9GZS0	M9PC80
Q9NVA4	M9PD30
Q9UJ68	P08761
O43272	Q04499
P26368	Q24562
P26572	Q60GL7
Q9GZR7	Q6NQY9
Q9Y3D8	Q7JYV7
P56556	Q7JZK1
Q5T8I9	Q7K175
Q7Z2E3	Q8MSG8
Q86SF2	Q8MV48
Q96I99	Q9V470
Q6NSJ0	Q9VBR6
Q8NFH4	Q9VBU8
Q99471	Q9VCZ8
Q9UI43	Q9VDT6
Q8WVB3	Q9VEB8
Q9UBR1	Q9VI04
Q9UGJ1	Q9VKU7
Q8TCX1	Q9VLB9
Q5T4S7	Q9VLT5
Q9H4P4	Q9VUV7
Q9BW91	Q9VV83
Q13286	Q9VVL0
Q7Z6E9	Q9XZ21
Q9H9Y6	P20028
P13928	P22465
Q12996	P25991
O95299	P91929
Q8WV83	Q7K3M9
P51571	Q7KLX3
Q9NZB8	Q8IQF1
P54819	Q9U915
P42685	Q9V9J3
P30085	Q9VBI2
Q9NX55	Q9VFN9
Q9H9J2	Q9VNC1
Q9BUK0	Q9VPC2
Q16774	Q9VTB3
Q8WVM0	Q9VTM5
Q9H7E2	Q9VUH8
Q9Y2V0	Q9VUU6
Q13467	Q9VVX3
Q8IYG6	Q9VW77
O60341	Q9VW97
Q96GX9	Q9VY93
Q6ZS86	Q9VZV9
O95721	Q9W1I8
P35658	Q9W1X4
Q9BSJ2	Q9XYP7
Q658Y4	Q9XZ12
O95801	A1Z6M6
Q9P2F6	B7Z058
P05386	P08570
P60866	P55828
Q5XKR4	P56672
P33991	Q26454
P05408	Q59E04
Q9H074	Q7K581
O00231	Q7KLV9
Q96SC8	Q9VAI8
Q96EL2	Q9VCC3
Q9UK97	Q9VG61
P36915	Q9VIJ9
Q12769	Q9VKJ3
Q9Y324	Q9VL75
P61803	Q9VLM5
Q96EB1	Q9VMQ7
P30536	Q9VPR1
Q92562	Q9VR06
Q9HC38	Q9VRD4
Q9Y535	Q9VTL6
Q00403	P29052
P18124	P32100
Q8IXM3	Q7JZM8
P36776	Q7KUT2
Q6NYC1	Q9VD28
P40818	Q9VDD8
Q9UQ13	Q9VEK6
Q96Q05	Q9VIL0
Q9BYD1	Q9VJ38
P09960	Q9VJ39
Q9UBK9	Q9VJP9
Q9BZQ6	Q9VK27
Q14498	Q9VM49
Q96PC5	Q9VMA7
P54886	Q9VNW6
Q8TDG4	Q9VSE2
Q6PD74	Q9VU04
Q9BRR6	Q9VUB9
Q9BTA9	Q9VX88
P54136	Q9VXN4
O60337	Q9W023
Q86SQ9	Q9W3M6
Q86VM9	Q9W3R9
Q8IZ02	A1Z7N0
Q92698	O76460
Q96HR8	Q9VJ62
Q96G04	Q9VWJ9
Q9UJX4	Q9VZL2
Q6SPF0	Q9W4W7
Q5VXD3	Q9W4W7
P0C860	P50536
Q8N5Y2	P50536
O14817	M9PDV2
O75954	M9PDV2
P19397	M9PDV2
P05091	Q9VLC5
P30837	Q9VLC5
Q96GF1	Q8IR26
Q96GF1	Q9VXP1
Q9Y2S2	Q5U1B0
Q9Y2S2	Q9VXI1
Q9Y4I1	A1Z6Z8
Q9NQX4	A1Z6Z8
P14866	A0A0B4K7I2
Q8WVV9	A0A0B4K7I2
Q9P0N5	Q9VHN0
Q9P0N5	Q8INQ3
P45844	Q9VL61
Q9H172	Q9VL61
P62491	O18335
Q15907	O18335
P54868	Q7K4Q9
Q01581	Q7K4Q9
P51572	Q9W0M4
Q9UHQ4	Q9W0M4
Q9UP38	P18537
Q14332	P18537
O75084	P18537
Q05084	Q9VP78
Q8NDH6	Q9VP78
P81274	Q9VB22
Q86YR5	Q9VB22
Q5T5C0	Q9VYK6
Q9Y2K9	Q9VYK6
A6NKT7	A0A0B4K7J2
O14715	A0A0B4K7J2
Q7Z3J3	A0A0B4K7J2
Q8IWJ2	A0A0B4K7J2
P0DJD1	A0A0B4K7J2
P0DJD0	A0A0B4K7J2
Q99666	A0A0B4K7J2
Q6PIY7	Q9VYS4
Q6PIY7	Q9VD44
O14529	P10180
P39880	P10180
Q9H444	Q8T0Q4
Q9BY43	Q8T0Q4
Q9Y297	A0A0B4KHK1
Q9UKB1	A0A0B4KHK1
Q8TDJ6	Q9W425
Q9Y485	Q9W425
P34896	Q9W457
P34897	Q9W457
Q07954	A0A0B4KFD1
Q9NZR2	A0A0B4KFD1
P49674	O76324
P48730	O76324
Q9UHY1	Q9Y0Y6
Q9NSY0	Q9Y0Y6
Q99689	Q9W525
Q9UHY8	Q9W525
P05771	P05130
P17252	P05130
P0DJD9	Q9VLK3
P14091	Q9VLK3
P0DJD7	Q9VLK3
P20142	Q9VLK3
P0DJD8	Q9VLK3
Q5XXA6	Q76NS2
Q5XXA6	A0A0B4JCY1
O14782	P46867
O15066	P46867
Q60I27	Q9VNZ8
Q96Q42	Q9VNZ8
O60506	A0A0B4KHI4
O43390	A0A0B4KHI4
Q9HBW9	A1Z7G7
O95490	A1Z7G7
Q9HAR2	A1Z7G7
O94910	A1Z7G7
P48960	A1Z7G7
Q2VIR3	Q24208
P41091	Q24208
Q969T3	Q9VQG1
Q7Z614	Q9VQG1
Q8WUM9	Q9VTG0
Q08357	Q9VTG0
P35711	Q59DN5
P35712	Q59DN5
Q9UN79	Q59DN5
P62263	C0HKA1
P62263	C0HKA0
Q96A54	Q9VCY8
Q86V24	Q9VCY8
Q9H6R6	Q9VSV3
Q9H6R6	Q9VG80
P49768	O02194
P49810	O02194
P55317	P14734
Q9Y261	P14734
Q8NEV1	P08181
P68400	P08181
Q9UKI8	B7Z126
Q86UE8	B7Z126
O95140	Q7YU24
Q8IWA4	Q7YU24
P11387	P30189
Q969P6	P30189
P84085	P40945
P18085	P40945
P36969	Q4V6H2
P36969	Q8IRD3
P54253	Q9W3V7
P0C7T5	Q9W3V7
Q8TF66	Q9VZ84
P22792	Q9VZ84
P40197	Q9VZ84
Q05513	A1Z9X0
P41743	A1Z9X0
P55316	P32031
P55316	P32030
Q9H6T3	Q9V3E9
Q15785	Q9V3E9
A1KZ92	Q9VZZ4
Q92626	Q9VZZ4
O95848	F3YD80
O95848	Q9VB64
Q9UI36	Q8IP19
Q96NX9	Q8IP19
Q00839	E1JGL8
Q9BUJ2	E1JGL8
O15014	A0A0B4KEU2
Q9ULD9	A0A0B4KEU2
P31689	Q9VFV9
Q8WW22	Q9VFV9
P98082	P98081
O75553	P98081
Q14157	Q86S05
Q5T6F2	Q86S05
Q96T21	Q9VSH1
Q93073	Q9VSH1
Q9GZV5	Q45VV3
P46937	Q45VV3
Q53GD3	Q9VAP3
Q8NCS7	Q9VAP3
Q8IWA5	Q9VAP3
Q8IZN3	A2VEY9
Q9NUE0	A2VEY9
P55055	P34021
Q13133	P34021
Q6NUI2	Q9Y137
Q9HCL2	Q9Y137
Q6PH85	Q9VUQ8
Q96GG9	Q9VUQ8
Q8N7R7	Q9VKF0
Q8ND76	Q9VKF0
P21127	Q9VPC0
Q9UQ88	Q9VPC0
P20226	P20227
Q6SJ96	P20227
O43741	A1Z7Q8
Q9Y478	A1Z7Q8
Q8WYP3	Q8MQW8
Q8TB24	Q8MQW8
Q13671	Q8MQW8
Q93050	Q9XZ10
Q9HBG4	Q9XZ10
Q96NZ1	Q9XTP7
O15353	Q9XTP7
O15056	Q5U0V7
O43426	Q5U0V7
Q9BU70	A1Z759
Q9BU70	A1Z758
O94804	Q9W179
Q9H2G2	Q9W179
Q9P241	Q7KTG6
O60312	Q7KTG6
O94823	Q7KTG6
Q9Y219	P18168
P78504	P18168
Q12907	Q9VCC2
Q9H0V9	Q9VCC2
Q99683	Q9VDS9
Q6ZN16	Q9VDS9
O95382	Q9VDS9
Q6ZRY4	Q01617
Q93062	Q01617
Q86W92	Q9VU88
Q8ND30	Q9VU88
Q9UN76	Q9W1J0
Q9Y345	Q9W1J0
O43679	Q7KVG9
Q86U70	Q7KVG9
Q92901	O16797
P39023	O16797
Q9NRX3	Q8SYJ2
O00483	Q8SYJ2
Q13596	Q9VQQ6
O60749	Q9VQQ6
P43699	Q7PL95
Q9H2Z4	Q7PL95
Q9UIA9	Q9GQN0
Q9H2T7	Q9GQN0
Q14558	Q9VA53
O60256	Q9VA53
P25391	Q8IP51
P24043	Q8IP51
Q9P0U4	Q8T3Y1
Q9P0U4	Q9W352
Q63HM9	Q9VIP3
Q0VAA5	Q9VIP3
Q96F81	Q9VNJ5
A7MBM2	Q9VNJ5
Q99638	A8JNV5
Q6WBX8	A8JNV5
Q9C0H9	Q7KW14
Q5T5P2	Q7KW14
O14753	P51521
Q9BRP0	P51521
Q9Y6B6	Q9VD29
Q9NR31	Q9VD29
Q8TEW0	Q0KHR3
Q8TEW8	Q0KHR3
Q96DT6	Q9VF80
Q86TL0	Q9VF80
Q9ULJ6	A0A6J3SHB9
Q8NF64	A0A6J3SHB9
Q8IZN3	A2VEY9
Q9Y397	A2VEY9
O14602	Q9VEA1
P47813	Q9VEA1
O15400	Q7K0X9
Q86Y82	Q7K0X9
O94925	Q1RL13
Q9UI32	Q1RL13
O75061	Q9VMY8
O14976	Q9VMY8
Q5T2W1	Q7K5M6
A8MUH7	Q7K5M6
O14745	Q7K5M6
Q15599	Q7K5M6
Q86UT5	Q7K5M6
Q16644	P49071
P49137	P49071
O15020	Q00963
Q01082	Q00963
P11277	Q00963
Q01850	Q9VIK6
Q86X02	Q9VIK6
O15266	A8DYR8
O60902	A8DYR8
O76050	P29503
A8MQ27	P29503
Q8IWU9	Q9W0K2
P17752	Q9W0K2
Q9HCC6	Q26263
Q14469	Q26263
Q9UJX2	E1JHM5
Q9UJX2	Q9I7L8
Q9UBC2	Q9W111
P42566	Q9W111
Q8TDF5	G4LU05
Q8NC67	G4LU05
P15941	X2JBD0
P15941	Q8IR52
O75333	Q9W3F4
O43435	Q9W3F4
O94868	X2JAU8
Q86WN1	X2JAU8
P26639	Q9VKB0
A2RTX5	Q9VKB0
P48067	Q9W1J0
Q9Y345	Q9W1J0
Q09019	Q9VBC4
Q8TBZ3	Q9VBC4
Q9UNZ2	Q7K3Z3
Q14CS0	Q7K3Z3
Q15910	P42124
Q92800	P42124
Q9BVJ6	Q9VUR2
Q5TAP6	Q9VUR2
Q8IXI1	Q8IMX7
Q8IXI2	Q8IMX7
Q8N335	P13706
P21695	P13706
Q7L5N7	Q0KHU5
Q8NF37	Q0KHU5
Q8WZ74	Q8SX68
Q9P2B4	Q8SX68
P63104	P29310
P31946	P29310
Q92995	Q9VZU7
P45974	Q9VZU7
Q03828	P06602
P49640	P06602
P53667	Q8IR79
P53671	Q8IR79
O60512	Q7KN92
P15291	Q7KN92
O60909	Q7KN92
O60513	Q7KN92
Q9NQ66	P25455
Q01970	P25455
Q00722	P25455
Q8NEA6	Q962I0
Q8NBF1	Q962I0
Q15785	Q9VBA1
Q07617	Q9VBA1
Q9P2J9	Q9W3Q1
Q9P0J1	Q9W3Q1
Q8TD30	Q9VYD9
P24298	Q9VYD9
Q9Y6Q2	Q24212
Q8WXE9	Q24212
Q92785	Q7K3G5
Q92782	Q7K3G5
Q92784	Q7K3G5
Q06945	P40656
O15370	P40656
P12268	Q07152
P20839	Q07152
Q96JY6	B7YZE5
Q96JY6	Q9VT49
P46108	Q9XYM0
P46109	Q9XYM0
Q07890	P26675
Q07889	P26675
P20265	P16241
P49335	P16241
P20264	P16241
Q9P246	P83094
Q13586	P83094
O75317	Q9VCT9
P62068	Q9VCT9
Q8TC92	Q9VU18
Q16206	Q9VU18
Q9UIY3	Q4QQ93
P57060	Q4QQ93
Q96KR6	A1Z6G4
Q96KR6	Q4V6K4
Q8TCX5	Q9XYY9
Q8IUC4	Q9XYY9
Q9Y619	Q7KVQ8
Q9BXI2	Q7KVQ8
Q8IUG5	Q8INC3
Q92614	Q8INC3
Q9UPN3	A1Z9J3
Q03001	A1Z9J3
Q96D21	Q9VS10
Q9Y272	Q9VS10
Q8TEM1	A1Z6H7
Q5VU65	A1Z6H7
P11047	P15215
Q9Y6N6	P15215
A6NFY4	Q9VXD6
O14524	Q9VXD6
P32320	Q9VLR2
P32320	Q9VLR3
P06276	P07140
P22303	P07140
P59768	P38040
P59768	A0A0B4K838
Q9UBI6	P38040
Q9UBI6	A0A0B4K838
P07339	Q7K485
P07339	A1Z9Q9
Q5T0B9	Q9VI93
Q8TF68	Q9VI93
Q6UX71	Q9W2V9
Q8IUK5	Q9W2V9
Q8IXF0	Q24119
Q99742	Q24119
Q8N8I0	Q8ML92
Q9BYL1	Q8ML92
Q6ZQY3	Q24062
Q9Y600	Q24062
P61513	Q9VMU4
A6NKH3	Q9VMU4
Q9BQJ4	A0A0B4LHK8
Q96FX8	A0A0B4LHK8
Q8N5L8	Q0E9N4
Q9BUL9	Q0E9N4
Q9H0Q0	Q7K1H0
Q9NUQ9	Q7K1H0
Q9NP97	Q7KMS3
Q8TF09	Q7KMS3
Q8N4C6	P11929
Q9Y2I6	P11929
Q9Y5P8	Q9I7J1
Q06190	Q9I7J1
A8MTL3	Q8IMM9
A8MTL3	Q9VWI4
Q5H9L4	Q9VHY5
Q15545	Q9VHY5
Q86X27	Q0E949
Q5JS13	Q0E949
Q9UHD1	Q9VCC0
Q9UKP3	Q9VCC0
Q96LD1	O76892
Q92629	O76892
Q13326	O76892
Q9BZM3	Q7KUL4
Q9H4S2	Q7KUL4
Q75N03	M9PBE2
Q8N7E2	M9PBE2
Q8NFD5	Q8IN94
O14497	Q8IN94
Q7Z6J0	Q7K4D1
Q8TEC5	Q7K4D1
Q8TEJ3	Q7K4D1
O15173	Q9VXM4
O00264	Q9VXM4
Q13268	Q9VRJ4
Q6PKH6	Q9VRJ4
Q9BTZ2	Q9VRJ4
P0CG22	Q9VRJ4
Q9NZD2	Q9VXV1
O95397	Q9VXV1
Q96JA3	Q9VXV1
P13861	P81900
P31323	P81900
O15438	Q7KTC0
P33527	Q7KTC0
P33402	Q07093
Q02108	Q07093
Q9NYA1	Q9VZW0
Q9NYA1	Q9VYY8
Q12837	P24350
Q15319	P24350
Q1KMD3	E1JGL8
Q9BUJ2	E1JGL8
Q8NF50	Q9VPI9
Q96N67	Q9VPI9
Q96HP0	Q9VPI9
Q9GZT5	Q9VM25
O00744	Q9VM25
Q96P53	Q9VKW1
Q8IWB7	Q9VKW1
Q99684	Q9VM77
Q5VTD9	Q9VM77
Q9H3Z4	Q03751
Q9UF47	Q03751
Q8TAC2	Q9W422
Q15040	Q9W422
Q8N2W9	A1Z7P5
O75925	A1Z7P5
Q9Y6X2	A1Z7P5
O75928	A1Z7P5
Q92523	Q9V3K9
P50416	Q9V3K9
Q8TCG5	Q9V3K9
B0I1T2	Q23978
O94832	Q23978
O43439	A0A0B4KEZ2
O75081	A0A0B4KEZ2
Q06455	A0A0B4KEZ2
O75122	Q9NBD7
Q7Z460	Q9NBD7
P30419	O61613
O60551	O61613
Q96F07	Q9VF87
Q7L576	Q9VF87
Q5TCQ9	Q9W2L2
Q86UL8	Q9W2L2
Q96QZ7	Q9W2L2
Q01851	P24350
Q15319	P24350
P62837	P25867
P61077	P25867
Q03112	Q8I7Z8
Q9HAZ2	Q8I7Z8
Q9Y4G2	Q9W293
Q6ZWE6	Q9W293
O95069	Q94526
Q96T54	Q94526
Q96T55	Q94526
P57789	Q94526
O95279	Q94526
Q9NYG8	Q94526
Q9Y257	Q94526
Q6DN12	A1ZBD6
Q6DN14	A1ZBD6
Q9HCE7	Q9V853
Q9HAU4	Q9V853
Q8N142	Q9Y0Y2
P30520	Q9Y0Y2
O14787	Q9VRV8
Q92973	Q9VRV8
O75192	Q7JZE1
O96011	Q7JZE1
O14519	M9PEA2
O75956	M9PEA2
Q9ULC4	Q9W445
A0A3B3IRV3	Q9W445
Q14541	P49866
P41235	P49866
Q99811	Q9W1U7
P54821	Q9W1U7
P49459	P25153
P63146	P25153
Q9H2U2	O77460
Q15181	O77460
Q6IN85	Q9VFS5
Q5MIZ7	Q9VFS5
P98077	Q9V3C8
Q92529	Q9V3C8
P29353	Q9V3C8
Q6S5L8	Q9V3C8
Q99470	Q9VNA3
Q9HCN8	Q9VNA3
