Q96Q11	P21269
Q96PQ0	P53751
Q96PQ0	P25657
Q96PQ0	P32319
Q99523	P40890
Q99523	P40438
Q99523	P53751
Q99523	P25657
Q99523	P32319
Q92673	P40890
Q92673	P40438
Q92673	P53751
Q92673	P25657
Q92673	P32319
Q9UPU3	P40890
Q9UPU3	P40438
Q9UPU3	P53751
Q9UPU3	P25657
Q9UPU3	P32319
O75688	P39966
O75688	P34221
Q8N819	P39966
Q8N819	P34221
P35813	P39966
P35813	P34221
Q6ZMG9	P28496
Q6ZMG9	P38703
P27544	P28496
P27544	P38703
Q8IU89	P28496
Q8IU89	P38703
Q96G23	P28496
Q96G23	P38703
Q9HA82	P28496
Q9HA82	P38703
Q8N5B7	P28496
Q8N5B7	P38703
O14732	P38710
O14732	Q05533
P29218	P38710
P29218	Q05533
Q07352	P47976
Q07352	P47977
P47974	P47976
P47974	P47977
P26651	P47976
P26651	P47977
O75880	P38072
O75880	P23833
O43819	P38072
O43819	P23833
P62491	P51996
P62491	P38555
Q15907	P51996
Q15907	P38555
Q9NYZ2	P10566
Q9NYZ2	P23500
Q96A46	P10566
Q96A46	P23500
P08237	P16861
P08237	P16862
P17858	P16861
P17858	P16862
Q01813	P16861
Q01813	P16862
A6NEC2	P32454
A6NEC2	P37898
P55786	P32454
P55786	P37898
Q9H0X9	Q02201
Q9H0X9	P38755
Q9BZF1	Q02201
Q9BZF1	P38755
Q13087	P17967
Q13087	P32474
P07237	P17967
P07237	P32474
P13667	P17967
P13667	P32474
P30101	P17967
P30101	P32474
Q96DV4	Q06252
Q96DV4	P14306
P30086	Q06252
P30086	P14306
P27361	P16892
P27361	P14681
P28482	P16892
P28482	P14681
P17516	P14065
P17516	Q12458
C9JRZ8	P14065
C9JRZ8	Q12458
O60218	P14065
O60218	Q12458
P14550	P14065
P14550	Q12458
P42330	P14065
P42330	Q12458
P15121	P14065
P15121	Q12458
Q96JD6	P14065
Q96JD6	Q12458
P51857	P14065
P51857	Q12458
Q04828	P14065
Q04828	Q12458
P52895	P14065
P52895	Q12458
P40818	P39944
P40818	P32571
O75604	P39944
O75604	P32571
Q9UK80	P39944
Q9UK80	P32571
Q6B0I6	Q03833
Q6B0I6	P39956
O94953	Q03833
O94953	P39956
Q9H3R0	Q03833
Q9H3R0	P39956
A0A1W2PPD8	Q03833
A0A1W2PPD8	P39956
O75164	Q03833
O75164	P39956
B2RXH2	Q03833
B2RXH2	P39956
Q86YT5	P39535
Q86YT5	P27514
Q86YT5	P25360
Q13183	P39535
Q13183	P27514
Q13183	P25360
Q8WWT9	P39535
Q8WWT9	P27514
Q8WWT9	P25360
Q9BZW2	P39535
Q9BZW2	P27514
Q9BZW2	P25360
Q9UKG4	P39535
Q9UKG4	P27514
Q9UKG4	P25360
Q6UWV6	P25353
Q6UWV6	P39997
Q13822	P25353
Q13822	P39997
Q9Y6X5	P25353
Q9Y6X5	P39997
P22413	P25353
P22413	P39997
Q9UJA9	P25353
Q9UJA9	P39997
Q6UWR7	P25353
Q6UWR7	P39997
O14638	P25353
O14638	P39997
Q53FV1	Q06144
Q53FV1	P53224
Q8N138	Q06144
Q8N138	P53224
Q9P0S3	Q06144
Q9P0S3	P53224
Q5VTY9	Q08929
Q5VTY9	P53154
Q9HCP6	Q08929
Q9HCP6	P53154
P35268	P05749
P35268	P56628
Q6P5R6	P05749
Q6P5R6	P56628
P62701	P0CX36
P62701	P0CX35
P22090	P0CX36
P22090	P0CX35
Q8TD47	P0CX36
Q8TD47	P0CX35
Q49AJ0	Q12103
Q49AJ0	P53118
Q49AJ0	Q08448
Q9P2D6	Q12103
Q9P2D6	P53118
Q9P2D6	Q08448
P11142	P10592
P11142	P22202
P11142	P10591
P11142	P09435
P54652	P10592
P54652	P22202
P54652	P10591
P54652	P09435
P0DMV9	P10592
P0DMV9	P22202
P0DMV9	P10591
P0DMV9	P09435
P0DMV8	P10592
P0DMV8	P22202
P0DMV8	P10591
P0DMV8	P09435
P34931	P10592
P34931	P22202
P34931	P10591
P34931	P09435
P17066	P10592
P17066	P22202
P17066	P10591
P17066	P09435
O95757	P32590
O95757	P32589
P34932	P32590
P34932	P32589
Q92598	P32590
Q92598	P32589
Q9UHI5	P50276
Q9UHI5	P38734
Q92536	P50276
Q92536	P38734
Q01650	P50276
Q01650	P38734
Q9UM01	P50276
Q9UM01	P38734
Q8TCU3	P50276
Q8TCU3	P38734
Q9NS82	P50276
Q9NS82	P38734
P82251	P50276
P82251	P38734
Q9UPY5	P50276
Q9UPY5	P38734
Q9GZN2	P53147
Q9GZN2	P41817
P55347	P53147
P55347	P41817
O00470	P53147
O00470	P41817
Q8IUE1	P53147
Q8IUE1	P41817
Q8IUE0	P53147
Q8IUE0	P41817
Q96KN3	P53147
Q96KN3	P41817
Q15583	P53147
Q15583	P41817
A8K0S8	P53147
A8K0S8	P41817
O14770	P53147
O14770	P41817
A6NDR6	P53147
A6NDR6	P41817
Q99687	P53147
Q99687	P41817
Q96CN4	Q12344
Q96CN4	Q04322
O60447	Q12344
O60447	Q04322
Q9Y3P9	Q12344
Q9Y3P9	Q04322
Q5R372	Q12344
Q5R372	Q04322
Q99879	P02294
Q99879	P02293
P57053	P02294
P57053	P02293
Q5QNW6	P02294
Q5QNW6	P02293
Q16778	P02294
Q16778	P02293
P62807	P02294
P62807	P02293
O60814	P02294
O60814	P02293
P23527	P02294
P23527	P02293
Q99880	P02294
Q99880	P02293
Q99877	P02294
Q99877	P02293
P06899	P02294
P06899	P02293
P33778	P02294
P33778	P02293
Q96A08	P02294
Q96A08	P02293
Q93079	P02294
Q93079	P02293
P58876	P02294
P58876	P02293
Q8N257	P02294
Q8N257	P02293
Q02078	Q12224
Q02078	P38128
Q14814	Q12224
Q14814	P38128
Q02080	Q12224
Q02080	P38128
Q06413	Q12224
Q06413	P38128
O00141	P18961
O00141	P12688
Q96BR1	P18961
Q96BR1	P12688
P31751	P18961
P31751	P12688
Q9HBY8	P18961
Q9HBY8	P12688
Q9Y243	P18961
Q9Y243	P12688
P31749	P18961
P31749	P12688
P62854	P39939
P62854	P39938
Q5JNZ5	P39939
Q5JNZ5	P39938
P05091	P40047
P05091	P46367
P05091	P54115
P30837	P40047
P30837	P46367
P30837	P54115
P00352	P40047
P00352	P46367
P00352	P54115
P47895	P40047
P47895	P46367
P47895	P54115
O94788	P40047
O94788	P46367
O94788	P54115
Q96S96	Q06252
Q96S96	P14306
P30086	Q06252
P30086	P14306
